SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE
100145,0,Cash loans,F,Y,Y,202500,260725.5,Working,Secondary / secondary special,Separated,House / apartment
100146,0,Cash loans,M,Y,Y,117000,327024,Pensioner,Secondary / secondary special,Married,House / apartment
100147,0,Cash loans,F,N,Y,135000,518562,Working,Secondary / secondary special,Married,House / apartment
100148,0,Cash loans,F,N,Y,247500,755190,Commercial associate,Secondary / secondary special,Married,House / apartment
100149,0,Cash loans,M,Y,N,171000,539590.5,Working,Secondary / secondary special,Married,House / apartment
100151,0,Cash loans,M,N,N,135000,182016,Commercial associate,Higher education,Single / not married,House / apartment
100152,0,Cash loans,F,N,Y,157500,254412,Working,Secondary / secondary special,Married,Municipal apartment
100153,0,Cash loans,M,Y,Y,202500,1107981,Working,Secondary / secondary special,Married,House / apartment
100154,0,Revolving loans,M,N,N,144000,180000,Working,Secondary / secondary special,Married,House / apartment
100155,0,Cash loans,M,N,N,157500,675000,Working,Secondary / secondary special,Married,House / apartment
100156,0,Cash loans,F,Y,N,157500,945000,Commercial associate,Secondary / secondary special,Married,With parents
100157,0,Cash loans,M,N,Y,180000,1755000,Working,Secondary / secondary special,Married,House / apartment
100158,0,Cash loans,M,N,N,180000,590337,Commercial associate,Incomplete higher,Married,House / apartment
100159,0,Cash loans,F,N,Y,225000,1515415.5,Commercial associate,Secondary / secondary special,Married,House / apartment
100160,1,Cash loans,M,N,Y,292500,675000,Working,Higher education,Married,House / apartment
100161,0,Cash loans,F,N,Y,90000,370629,Commercial associate,Secondary / secondary special,Married,House / apartment
100162,0,Cash loans,F,N,Y,112500,547344,Pensioner,Secondary / secondary special,Single / not married,House / apartment
100163,0,Cash loans,F,N,Y,130500,550489.5,Working,Higher education,Separated,House / apartment
100164,0,Cash loans,F,Y,N,450000,407434.5,Commercial associate,Higher education,Civil marriage,House / apartment
100165,0,Cash loans,F,Y,Y,175500,1293502.5,Pensioner,Secondary / secondary special,Married,House / apartment
100166,0,Cash loans,F,N,Y,58500,152820,Working,Secondary / secondary special,Married,Municipal apartment
100167,0,Cash loans,F,N,Y,180000,427500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100173,0,Cash loans,F,N,N,117000,781920,Working,Higher education,Single / not married,House / apartment
100174,0,Revolving loans,F,N,Y,180000,225000,Working,Incomplete higher,Married,Municipal apartment
100175,0,Cash loans,F,N,Y,202500,1251072,Working,Secondary / secondary special,Civil marriage,House / apartment
100176,0,Cash loans,F,N,Y,135000,1078200,Working,Secondary / secondary special,Married,House / apartment
100177,0,Cash loans,M,N,N,112500,312682.5,Working,Secondary / secondary special,Civil marriage,House / apartment
100178,0,Cash loans,F,N,Y,119250,679500,Working,Higher education,Separated,House / apartment
100179,0,Cash loans,F,Y,N,202500,675000,Commercial associate,Higher education,Married,House / apartment
100180,0,Cash loans,F,N,Y,315000,1288350,Commercial associate,Higher education,Married,House / apartment
100181,1,Cash loans,F,N,Y,157500,245619,Working,Secondary / secondary special,Single / not married,House / apartment
100182,0,Revolving loans,F,N,Y,112500,135000,Working,Secondary / secondary special,Separated,House / apartment
100183,0,Cash loans,F,N,Y,103500,239850,Pensioner,Secondary / secondary special,Separated,House / apartment
100185,0,Cash loans,M,N,Y,58500,187704,Pensioner,Secondary / secondary special,Married,House / apartment
100186,0,Cash loans,F,N,Y,117000,269550,Pensioner,Secondary / secondary special,Single / not married,House / apartment
100188,0,Cash loans,F,N,N,225000,1325475,Working,Higher education,Married,Office apartment
100189,0,Cash loans,F,N,Y,135000,263844,Working,Incomplete higher,Separated,House / apartment
100190,0,Cash loans,M,Y,N,162000,263686.5,Commercial associate,Higher education,Married,House / apartment
100191,0,Cash loans,F,N,Y,112500,544491,Working,Higher education,Separated,House / apartment
100192,1,Cash loans,F,N,N,111915,225000,Commercial associate,Secondary / secondary special,Single / not married,With parents
100193,0,Cash loans,F,Y,N,225000,296280,Commercial associate,Secondary / secondary special,Separated,House / apartment
100194,0,Revolving loans,F,N,Y,157500,315000,Working,Higher education,Civil marriage,House / apartment
100195,0,Cash loans,M,Y,Y,90000,336150,Commercial associate,Higher education,Single / not married,House / apartment
100196,0,Cash loans,F,Y,Y,164250,755190,Working,Higher education,Married,House / apartment
100197,0,Cash loans,F,N,N,157500,497520,Working,Secondary / secondary special,Married,House / apartment
100198,0,Cash loans,M,Y,Y,135000,531000,Working,Secondary / secondary special,Married,House / apartment
100199,0,Cash loans,F,N,Y,112500,269550,Working,Secondary / secondary special,Married,House / apartment
100200,0,Cash loans,F,N,N,216000,450000,Working,Secondary / secondary special,Widow,House / apartment
100201,0,Cash loans,F,N,Y,180000,675000,Commercial associate,Higher education,Single / not married,House / apartment
100202,0,Cash loans,F,N,N,67500,127350,Pensioner,Secondary / secondary special,Single / not married,House / apartment
100203,0,Cash loans,F,N,N,54000,119925,Pensioner,Secondary / secondary special,Widow,House / apartment
100204,0,Cash loans,F,N,Y,81000,532494,Pensioner,Secondary / secondary special,Married,House / apartment
100205,0,Cash loans,F,N,Y,63000,808650,Working,Secondary / secondary special,Married,House / apartment
100206,0,Cash loans,M,Y,N,157500,318528,Commercial associate,Secondary / secondary special,Married,House / apartment
100207,0,Cash loans,F,N,Y,157500,700830,Working,Secondary / secondary special,Civil marriage,House / apartment
100208,0,Cash loans,M,N,N,180000,888840,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100209,1,Revolving loans,M,N,Y,180000,540000,Commercial associate,Higher education,Married,House / apartment
100210,0,Cash loans,F,N,Y,202500,771493.5,Working,Higher education,Separated,House / apartment
100211,0,Cash loans,M,N,N,225000,746280,Commercial associate,Secondary / secondary special,Married,House / apartment
100213,0,Cash loans,F,N,N,49500,278460,Working,Secondary / secondary special,Married,House / apartment
100214,1,Cash loans,F,N,Y,202500,436032,Commercial associate,Higher education,Civil marriage,House / apartment
100215,0,Cash loans,F,Y,N,90000,227520,Pensioner,Secondary / secondary special,Civil marriage,House / apartment
100216,0,Cash loans,F,N,N,90000,67500,Working,Secondary / secondary special,Married,Municipal apartment
100217,0,Cash loans,F,N,N,180000,254700,Working,Secondary / secondary special,Separated,House / apartment
100218,0,Cash loans,M,Y,Y,337500,876078,Commercial associate,Higher education,Single / not married,House / apartment
100219,0,Cash loans,M,N,Y,315000,2250000,Commercial associate,Higher education,Married,House / apartment
100220,0,Cash loans,F,N,Y,225000,1040985,Commercial associate,Higher education,Single / not married,House / apartment
100221,0,Cash loans,F,N,Y,225000,684054,Commercial associate,Secondary / secondary special,Widow,House / apartment
100224,0,Cash loans,F,Y,Y,225000,1256400,Commercial associate,Secondary / secondary special,Married,House / apartment
100225,0,Cash loans,M,Y,N,157500,720000,Commercial associate,Secondary / secondary special,Married,With parents
100226,0,Revolving loans,F,N,N,112500,270000,Working,Secondary / secondary special,Married,House / apartment
100227,0,Cash loans,M,N,N,292500,1024740,Working,Higher education,Single / not married,House / apartment
100228,0,Cash loans,F,N,N,121500,1102500,State servant,Secondary / secondary special,Married,Municipal apartment
100229,0,Cash loans,F,N,Y,157500,544491,Working,Secondary / secondary special,Married,House / apartment
100230,0,Revolving loans,F,N,N,135000,405000,Working,Secondary / secondary special,Married,House / apartment
100231,0,Cash loans,M,Y,Y,108000,912240,Commercial associate,Secondary / secondary special,Married,House / apartment
100233,0,Cash loans,F,N,Y,216000,679671,Working,Secondary / secondary special,Married,House / apartment
100234,0,Revolving loans,F,N,N,67500,180000,Working,Secondary / secondary special,Widow,With parents
100235,0,Cash loans,F,N,Y,135000,364896,Working,Secondary / secondary special,Married,House / apartment
100236,0,Cash loans,M,Y,Y,112500,312768,Working,Secondary / secondary special,Married,House / apartment
100237,0,Cash loans,F,N,N,144000,1288350,Working,Secondary / secondary special,Civil marriage,Rented apartment
100238,0,Cash loans,M,Y,Y,135000,781920,Commercial associate,Secondary / secondary special,Married,House / apartment
100239,0,Cash loans,F,N,Y,225000,1483231.5,Working,Secondary / secondary special,Married,House / apartment
100240,0,Cash loans,M,N,Y,135000,590337,Working,Secondary / secondary special,Married,House / apartment
100242,0,Cash loans,M,Y,Y,90000,101880,Working,Secondary / secondary special,Married,Municipal apartment
100243,0,Cash loans,M,N,Y,112500,161730,Working,Higher education,Married,House / apartment
100244,0,Cash loans,M,N,N,247500,447768,Working,Secondary / secondary special,Married,House / apartment
100246,1,Cash loans,F,N,Y,135000,495216,Working,Secondary / secondary special,Married,House / apartment
100247,0,Cash loans,F,N,Y,225000,402939,Working,Secondary / secondary special,Married,House / apartment
100248,0,Cash loans,F,N,Y,90000,808650,Pensioner,Secondary / secondary special,Civil marriage,House / apartment
100249,0,Cash loans,F,N,Y,67500,76410,Working,Secondary / secondary special,Married,House / apartment
100250,0,Cash loans,F,Y,N,72000,90000,Working,Secondary / secondary special,Married,With parents
100251,0,Cash loans,M,Y,Y,202500,270000,Working,Secondary / secondary special,Married,House / apartment
100252,0,Cash loans,F,N,Y,225000,490495.5,Working,Secondary / secondary special,Married,House / apartment
100254,0,Cash loans,M,Y,Y,292500,1078200,Commercial associate,Higher education,Married,House / apartment
100255,0,Cash loans,M,Y,Y,315000,824544,Working,Secondary / secondary special,Single / not married,House / apartment
100257,0,Cash loans,F,N,Y,90000,312768,Pensioner,Secondary / secondary special,Single / not married,House / apartment
100258,0,Cash loans,F,N,Y,135000,81000,Working,Secondary / secondary special,Civil marriage,House / apartment
100259,0,Cash loans,M,Y,Y,180000,427500,Pensioner,Secondary / secondary special,Married,House / apartment
100260,0,Cash loans,M,N,Y,180000,180000,Working,Higher education,Single / not married,Co-op apartment
100261,0,Cash loans,F,N,Y,90000,522000,Commercial associate,Secondary / secondary special,Married,House / apartment
100262,0,Cash loans,M,Y,Y,315000,1575000,Working,Secondary / secondary special,Married,House / apartment
100263,0,Cash loans,F,N,Y,108000,585000,Pensioner,Higher education,Widow,House / apartment
100264,0,Cash loans,F,N,Y,121500,1215000,Pensioner,Higher education,Married,House / apartment
100265,0,Cash loans,F,N,Y,112500,723996,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
100266,0,Cash loans,F,N,N,157500,1256400,Commercial associate,Secondary / secondary special,Widow,Municipal apartment
100267,0,Cash loans,M,N,Y,225000,675000,Commercial associate,Higher education,Married,House / apartment
100268,0,Cash loans,F,N,N,85500,225000,Working,Secondary / secondary special,Married,House / apartment
100269,0,Cash loans,M,N,Y,180000,427450.5,Commercial associate,Secondary / secondary special,Married,House / apartment
100270,0,Revolving loans,F,N,Y,90000,337500,Pensioner,Higher education,Married,House / apartment
100272,0,Revolving loans,F,N,Y,135000,180000,Working,Secondary / secondary special,Married,House / apartment
100273,1,Cash loans,F,N,Y,157500,1710000,Working,Secondary / secondary special,Married,House / apartment
100274,0,Cash loans,M,Y,Y,308250,1305000,Working,Secondary / secondary special,Civil marriage,House / apartment
100275,0,Cash loans,F,Y,Y,108000,646920,Pensioner,Secondary / secondary special,Widow,House / apartment
100276,0,Cash loans,F,Y,Y,135000,497520,Working,Secondary / secondary special,Married,House / apartment
100277,0,Cash loans,M,Y,N,67500,364896,Pensioner,Secondary / secondary special,Married,House / apartment
100279,0,Cash loans,M,N,Y,180000,254700,Pensioner,Secondary / secondary special,Widow,House / apartment
100281,0,Cash loans,F,N,Y,112500,675000,Commercial associate,Secondary / secondary special,Widow,House / apartment
100282,1,Revolving loans,F,Y,Y,73341,135000,Commercial associate,Higher education,Single / not married,House / apartment
100283,0,Cash loans,F,N,Y,135000,747000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100284,0,Cash loans,M,Y,Y,180000,675000,Working,Higher education,Married,With parents
100285,0,Revolving loans,F,N,Y,112500,180000,Working,Secondary / secondary special,Civil marriage,Rented apartment
100286,1,Cash loans,M,Y,Y,121500,263686.5,Working,Secondary / secondary special,Married,House / apartment
100287,0,Cash loans,F,N,Y,202500,225000,Pensioner,Higher education,Married,House / apartment
100288,0,Cash loans,F,N,N,157500,450000,Working,Secondary / secondary special,Civil marriage,House / apartment
100289,0,Cash loans,M,Y,N,202500,526491,Working,Higher education,Married,House / apartment
100290,0,Cash loans,M,N,N,135000,224136,Working,Secondary / secondary special,Separated,House / apartment
100291,0,Cash loans,F,N,N,153000,292500,Working,Incomplete higher,Married,House / apartment
100292,0,Cash loans,F,N,Y,202500,675000,Pensioner,Secondary / secondary special,Married,House / apartment
100293,0,Cash loans,F,N,Y,202500,1271281.5,Working,Higher education,Married,House / apartment
100294,0,Cash loans,F,N,Y,157500,835380,Commercial associate,Secondary / secondary special,Widow,House / apartment
100295,1,Cash loans,M,Y,N,225000,1019205,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
100296,0,Cash loans,M,N,Y,225000,223884,Commercial associate,Secondary / secondary special,Married,House / apartment
100297,0,Cash loans,M,Y,N,135000,334152,Working,Secondary / secondary special,Married,House / apartment
100298,0,Cash loans,F,N,Y,270000,473760,Working,Secondary / secondary special,Married,House / apartment
100299,0,Revolving loans,F,N,Y,112500,540000,State servant,Secondary / secondary special,Married,House / apartment
100300,1,Cash loans,M,N,N,63000,426645,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
100301,1,Cash loans,M,N,Y,112500,571486.5,Working,Secondary / secondary special,Married,House / apartment
100302,0,Cash loans,F,N,Y,180000,187704,Working,Secondary / secondary special,Civil marriage,House / apartment
100303,0,Cash loans,F,N,Y,292500,254700,Pensioner,Secondary / secondary special,Widow,House / apartment
100304,0,Revolving loans,F,N,Y,225000,675000,Working,Secondary / secondary special,Single / not married,House / apartment
100305,0,Cash loans,M,Y,Y,135000,237024,Working,Incomplete higher,Single / not married,House / apartment
100307,0,Cash loans,M,N,Y,225000,451804.5,State servant,Secondary / secondary special,Married,House / apartment
100308,0,Cash loans,M,N,N,157500,208512,Working,Higher education,Married,House / apartment
100309,0,Cash loans,F,N,Y,157500,263686.5,State servant,Secondary / secondary special,Married,House / apartment
100310,0,Cash loans,M,N,N,180000,1071000,Working,Higher education,Married,Rented apartment
100313,0,Cash loans,F,N,Y,87750,1206954,Pensioner,Higher education,Married,House / apartment
100314,0,Cash loans,M,N,N,292500,239850,Working,Secondary / secondary special,Married,House / apartment
100315,0,Cash loans,F,Y,Y,121500,288873,Working,Higher education,Married,House / apartment
100316,0,Cash loans,F,N,Y,67500,622413,Working,Secondary / secondary special,Married,House / apartment
100317,0,Cash loans,F,N,Y,180000,630000,Working,Higher education,Married,House / apartment
100318,0,Cash loans,F,N,N,90000,381528,Working,Higher education,Single / not married,House / apartment
100319,0,Cash loans,F,N,Y,135000,781920,Commercial associate,Higher education,Married,House / apartment
100320,0,Cash loans,M,Y,Y,225000,481855.5,Working,Secondary / secondary special,Married,House / apartment
100321,0,Cash loans,M,Y,N,270000,521280,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
100322,0,Cash loans,M,Y,Y,225000,254700,Working,Secondary / secondary special,Married,House / apartment
100323,0,Cash loans,M,Y,Y,450000,1575000,Commercial associate,Higher education,Married,House / apartment
100324,0,Cash loans,F,Y,Y,112500,152820,Commercial associate,Secondary / secondary special,Separated,House / apartment
100325,0,Cash loans,F,N,Y,135000,640080,State servant,Secondary / secondary special,Married,House / apartment
100326,1,Cash loans,M,Y,Y,36000,284400,Pensioner,Secondary / secondary special,Civil marriage,House / apartment
100327,0,Cash loans,M,Y,Y,180000,407727,Working,Secondary / secondary special,Married,House / apartment
100328,0,Cash loans,F,N,N,171000,1270746,State servant,Secondary / secondary special,Married,House / apartment
100329,0,Cash loans,F,Y,Y,135000,247275,Working,Secondary / secondary special,Married,House / apartment
